OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTArea,ShapeSTLength
1,01040,1040,Alcona,Alcona Township,Township,170.108,65.679,42034.053,17A,landscape,lower,337943233.300781,104030.483899375
2,12460,12460,Caledonia,Caledonia Township,Township,188.086,72.62,46476.564,17A,landscape,lower,373993992.867188,108116.794643131
3,54740,54740,Mitchell,Mitchell Township,Township,371.289,143.355,91746.459,17A,portrait,lower,735853745.941406,135822.768046968
4,37380,37380,Haynes,Haynes Township,Township,90.69,35.016,22409.857,17A,landscape,lower,179699389.734375,57100.9344969967
5,37220,37220,Hawes,Hawes Township,Township,184.906,71.392,45690.897,17A,landscape,lower,366425585.457031,81097.175301499
6,36880,36880,Harrisville,Harrisville Township,Township,78.543,30.326,19408.279,17A,portrait,lower,155194778.003906,55410.0686247894
7,35740,35740,Gustin,Gustin Township,Township,92.81,35.834,22933.627,17A,landscape,lower,183376243.9375,54317.2331034083
8,54060,54060,Millen,Millen Township,Township,184.839,71.367,45674.334,17A,landscape,lower,365227776.316406,81064.7998656816
9,36860,36860,Harrisville,City of Harrisville,City,1.637,0.632,404.51,17A,portrait,lower,3235890.80859375,8418.88198572809
10,34820,34820,Greenbush,Greenbush Township,Township,67.68,26.131,16723.808,17A,portrait,lower,133323982.707031,46311.2730382827
11,53880,53880,Mikado,Mikado Township,Township,184.645,71.292,45626.353,17A,landscape,lower,363765997.191406,81075.4914517845
12,19320,19320,Curtis,Curtis Township,Township,183.323,70.781,45299.641,17A,landscape,lower,361188371.429688,80622.1656654715
13,11960,11960,Burt,Burt Township,Township,617.903,238.572,152685.447,17A,landscape,upper,1308471971.64453,164181.31449894
14,56220,56220,Munising,Munising Township,Township,532.04,205.421,131468.524,17A,portrait,upper,1119025770.23047,199727.516770724
15,33380,33380,Grand Island,Grand Island Township,Township,58.203,22.472,14382.235,17A,portrait,upper,122911573.441406,83770.4814568094
16,60820,60820,Onota,Onota Township,Township,229.8,88.726,56784.155,17A,landscape,upper,484295416.035156,102680.605898288
17,04460,4460,Au Train,Au Train Township,Township,383.122,147.923,94670.437,17A,portrait,upper,804033822.273438,150571.539696363
18,56200,56200,Munising,City of Munising,City,13.617,5.258,3364.914,17A,portrait,upper,28665548.7578125,43546.6341535525
19,69160,69160,Rock River,Rock River Township,Township,209.427,80.86,51749.915,17A,landscape,upper,439629016.832031,88605.1603345102
20,47540,47540,Limestone,Limestone Township,Township,194.403,75.059,48037.427,17A,landscape,upper,406561087.871094,111916.375682771
21,52360,52360,Mathias,Mathias Township,Township,186.365,71.955,46051.196,17A,landscape,upper,389252008.652344,83654.1038189558
22,46760,46760,Leighton,Leighton Township,Township,92.121,35.568,22763.45,17A,landscape,lower,170903743.75,55575.6264595163
23,28120,28120,Fillmore,Fillmore Township,Township,73.317,28.308,18116.93,17A,landscape,lower,135963190.679688,70449.5074275886
24,61820,61820,Overisel,Overisel Township,Township,92.497,35.713,22856.382,17A,landscape,lower,171578759.097656,52383.5870944752
25,22680,22680,Dorr,Dorr Township,Township,93.64,36.154,23138.633,17A,landscape,lower,173712964.859375,52746.2895957036
26,71100,71100,Salem,Salem Township,Township,93.255,36.006,23043.51,17A,landscape,lower,172989399.578125,52667.4772581361
27,45180,45180,Laketown,Laketown Township,Township,56.093,21.658,13860.815,17A,portrait,lower,104038937.117188,45392.3470726964
28,84880,84880,Wayland,City of Wayland,City,7.777,3.003,1921.636,17A,landscape,lower,14402765.0703125,19612.9720644262
29,84900,84900,Wayland,Wayland Township,Township,86.612,33.441,21402.089,17A,landscape,lower,160218536.792969,59917.4752285516
30,50840,50840,Manlius,Manlius Township,Township,93.088,35.941,23002.372,17A,landscape,lower,172190010.972656,56312.2763930161
31,37460,37460,Heath,Heath Township,Township,92.976,35.898,22974.576,17A,portrait,lower,171981598.832031,52500.0323446503
32,39200,39200,Hopkins,Hopkins Township,Township,93.216,35.991,23033.93,17A,landscape,lower,172445083.148438,52580.4440469802
33,55200,55200,Monterey,Monterey Township,Township,93.192,35.981,23027.95,17A,portrait,lower,172390617.027344,52566.345659917
34,71720,71720,Saugatuck,Saugatuck Township,Township,62.114,23.982,15348.63,17A,portrait,lower,114872272.992188,60264.711882967
35,22740,22740,Village of Douglas,City of Village of Douglas,City,5.114,1.975,1263.78,17A,landscape,lower,9460375.01953125,15695.5721738385
36,71700,71700,Saugatuck,City of Saugatuck,City,4.383,1.692,1083.001,17A,portrait,lower,8111657.6484375,19329.2457418251
